,DataID,Gender,Race,Age,Father's Birthplace,Occupation,Can Read,Can Write,Attended School,continent,industry
1141790,4449359_00939,Male,White,18.0,West Indies,Clerk,Yes,Yes,No,SouthAmerica,paperworker
1141791,4449359_00939,Male,White,39.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1141827,4449359_00938,Male,White,26.0,Venezuela,Clerk,Yes,Yes,,SouthAmerica,paperworker
1141865,4449359_00943,Male,Chinese,44.0,China,Laborer,No,No,,Aisa,workers
1141866,4449359_00943,Male,Chinese,48.0,China,Laborer,No,No,,Aisa,workers
1141867,4449359_00943,Male,Chinese,50.0,China,Proprietor,No,No,,Aisa,Proprietor
1142118,4449359_01113,Male,White,1.0,Canada,Painter,Yes,Yes,,NorthAmerica,artist
1142128,4449359_01112,Male,White,39.0,Mexico,Clerk,Yes,Yes,,SouthAmerica,paperworker
1142288,4449359_01123,Male,White,22.0,Cuba,Machinist,Yes,Yes,,SouthAmerica,engineer
1142477,4449359_01118,Female,White,26.0,Canada,Operator,Yes,Yes,,NorthAmerica,workers
1142478,4449359_01118,Female,White,24.0,Canada,Saleslady,Yes,Yes,,NorthAmerica,servant
1142505,4449359_01120,Male,Chinese,28.0,China,Proprietor,Yes,Yes,,Aisa,Proprietor
1142544,4449359_01120,Male,Chinese,41.0,China,Proprietor,Yes,Yes,,Aisa,Proprietor
1142634,4449359_01098,Female,White,38.0,Canada,Dressmaker,Yes,Yes,,NorthAmerica,Proprietor
1142700,4449359_01103,Male,White,28.0,West Indies,Clerk,Yes,Yes,,SouthAmerica,paperworker
1142721,4449359_01104,Male,White,20.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker
